First Name,Primary Kitchen,Mobile Phone,Driver,Lead Cook,Navigator
Adam,East Dulwich,07778396662,1,0,0
Bob,East Dulwich,07778396662,1,0,0
Dai,East Dulwich,07778396662,1,0,0
Ebony,East Dulwich,07778396662,1,0,0
Joshua,East Dulwich,07778396662,1,0,0
Aaron,East Dulwich,07778396662,0,0,1
Bart,East Dulwich,07778396662,0,0,1
Charlotte,East Dulwich,07778396662,0,0,1
Daniel,East Dulwich,07778396662,0,0,1
Fabrizio,East Dulwich,07778396662,0,0,1
Rod,East Dulwich,07778396662,0,1,0
Fiona,Kentish Town,07778396662,1,0,0
Jennie,Kentish Town,07778396662,1,0,0
Grace,Kentish Town,07778396662,0,0,1
Ingrid,Kentish Town,07778396662,0,0,1
Jackson,Kentish Town,07778396662,0,0,1
Kathleen,Kentish Town,07778396662,0,0,1
Kamal,Kentish Town,07778396662,1,0,0
Hardeep,Kentish Town,07778396662,1,0,0
Lobo,Kentish Town,07778396662,1,0,0
Grace,Kentish Town,07778396662,0,0,1
Rosa,Kentish Town,07778396662,0,1,0
Mary,King's Cross,07778396662,1,0,0
Nishant,King's Cross,07778396662,1,0,0
Peter,King's Cross,07778396662,1,0,0
Ruth,King's Cross,07778396662,1,0,0
Philippa,King's Cross,07778396662,0,0,1
Ryan,King's Cross,07778396662,0,0,1
Sopna,King's Cross,07778396662,0,0,1
William,King's Cross,07778396662,0,0,1
Thierry,King's Cross,07778396662,0,0,1
Simon,King's Cross,07778396662,1,0,0
Vicki,King's Cross,07778396662,0,1,0
